id,price_doc
30474,5931029.5
30475,8476273
30476,6353226
30477,6650058
30478,4695654
30479,8665923
30480,4304005
30481,5267353
30482,5517488
30483,4804677
30484,6649415
30485,4534147
30486,4270710
30487,3894152.5
30488,6848356
30489,6727067
30490,22330400
30491,16262622
30492,5878042
30493,12022896
30494,6551703
30495,12057734
30496,9374217
30497,8618460
30498,5292236
30499,8450995
30500,11627633
30501,7202496
30502,3289482.5
30503,6518724
30504,5956682
30505,10965337
30506,3235234
30507,5187821
30508,5389705
30509,8292718.5
30510,9212544
30511,7331017.5
30512,6840319
30513,4350139
30514,3451731
30515,9638237
30516,6652756.5
30517,10029163
30518,8310930
30519,5136183
30520,7556832.5
30521,5424711
30522,7817566
30523,6873508
30524,10510003
30525,10964674
30526,4815318
30527,3886732.75
30528,7584917.5
30529,7596634.5
30530,7158707
30531,14645671
30532,4987294
30533,10575223
30534,6816425
30535,9284629
30536,5648984
30537,11950523
30538,5593883
30539,9815368
30540,9535978
30541,6779351.5
30542,2413313.5
30543,5921904.5
30544,5849048.5
30545,8526177
30546,4300412.5
30547,9915336
30548,4208814
30549,5467877
30550,13170747
30551,5577384
30552,1496570.5
30553,7352811
30554,11121068
30555,6208146.5
30556,8679980
30557,7355872
30558,9108824
30559,6507370
30560,6364142.5
30561,7020408.5
30562,11991264
30563,6636783.5
30564,7530836
30565,7267556
30566,7717797
30567,2124654
30568,10358082
30569,11224810
30570,7390047
30571,7361077.5
30572,5172290
30573,6532519
30574,6170545
30575,8357221
30576,4419808.5
30577,4315162
30578,3039075.5
30579,7377252
30580,4930401
30581,6458936.5
30582,13298498
30583,6980412
30584,4961695
30585,3724855.75
30586,10404226
30587,6382425
30588,8102864
30589,7923104.5
30590,11217149
30591,6027800.5
30592,7270931.5
30593,8157047
30594,6716006
30595,6393600
30596,7209773
30597,6532519
30598,9350786
30599,9836109
30600,7249168.5
30601,6465190
30602,1936401
30603,12440836
30604,5160885
30605,6600506
30606,22407010
30607,6635176.5
30608,9242638
30609,6888323.5
30610,2667391
30611,5386326.5
30612,8029472
30613,9096285
30614,15210130
30615,7833904
30616,5525420
30617,9863616
30618,5977758
30619,5701333.5
30620,2243747.5
30621,9950297
30622,7066725
30623,6697362.5
30624,7394407.5
30625,8266550.5
30626,6577734
30627,8010035
30628,6414637.5
30629,6235514
30630,6853019.5
30631,5954184.5
30632,4621805.5
30633,6087552.5
30634,11526401
30635,9530109
30636,6025389.5
30637,9464634
30638,6060479.5
30639,7904789.5
30640,5428921.5
30641,7706847
30642,7134851
30643,8772972
30644,9363045
30645,7328792
30646,6248245.5
30647,4402782
30648,20987524
30649,2069618.5
30650,5723791
30651,3217941
30652,4829006
30653,7035227.5
30654,4547564
30655,12267248
30656,4325807.5
30657,6814857
30658,10408986
30659,5184557
30660,8616195
30661,6932867
30662,8403110
30663,16093298
30664,12773446
30665,6817013.5
30666,2562125
30667,5024819
30668,9546854
30669,5374860
30670,3389227
30671,7216335
